,CenterLatitude,CenterLongitude
570,54.34555,9.75625
571,54.59465,11.26475
572,54.59385,11.26475
573,54.59205,11.26125
574,54.59125,11.25775
575,54.58875,11.25425
576,55.08355,8.57325
577,54.58745,11.25425
578,54.58665,11.25075
579,54.58585,11.25075
580,55.08055,8.56975
581,54.58515,11.24725
582,54.58465,11.24725
583,55.07705,8.56975
584,54.58375,11.24375
585,54.58355,11.24375
586,55.07535,8.56625
587,54.58315,11.24025
588,55.07455,8.56625
589,55.07265,8.56275
590,54.58185,11.23675
591,54.58155,11.23675
592,55.07055,8.55925
593,54.58125,11.23675
594,55.06985,8.55925
595,55.06905,8.55575
596,54.58005,11.23325
597,54.57955,11.22975
598,54.73085,8.69225
599,54.33235,9.73175
600,54.33785,9.74225
601,54.33705,9.74225
602,54.34045,9.74575
603,54.34015,9.74575
604,54.33915,9.74575
605,54.33895,9.74575
606,54.33875,9.74575
607,54.33865,9.74225
608,54.33845,9.74225
609,54.33835,9.74225
610,54.33805,9.74225
611,54.33795,9.74225
612,54.33775,9.74225
613,54.33765,9.74225
614,54.33725,9.74225
615,54.33715,9.74225
616,54.33695,9.73875
617,54.33675,9.73875
618,54.33645,9.73875
619,54.33615,9.73875
620,54.33565,9.73875
621,54.33545,9.73875
622,54.33525,9.73875
623,54.33515,9.73525
624,57.70405,11.94025
625,55.06585,8.54875
626,57.70525,11.94025
627,55.06515,8.54875
628,55.06455,8.54525
629,54.57845,11.22625
630,54.57805,11.22625
631,54.33315,9.73175
632,54.33495,9.73525
633,54.33475,9.73525
634,54.33465,9.73525
635,57.69055,11.87375
636,56.68395,8.24075
637,56.68425,8.24075
638,56.68555,8.24075
639,56.68765,8.24075
640,56.68875,8.24075
641,56.68925,8.24075
642,56.69095,8.23725
643,54.33445,9.73525
644,54.33205,9.73175
645,54.33395,9.73525
646,54.33145,9.72825
647,54.33375,9.73525
648,54.33345,9.73525
649,54.33325,9.73175
650,54.33075,9.72825
651,56.69585,8.24075
652,56.69295,8.23725
653,56.69465,8.23725
654,54.33015,9.72825
655,54.33265,9.73175
656,54.32985,9.72475
657,54.32925,9.72475
658,55.08725,8.56975
659,56.69625,8.24075
660,54.33055,9.72825
661,54.15795,12.10125
662,54.15855,12.10125
663,54.15915,12.10125
664,54.15975,12.10125
665,54.16045,12.10125
666,54.16105,12.10125
667,54.16175,12.10125
668,54.16235,12.10125
669,54.16305,12.10125
670,54.16355,12.10125
671,54.16385,12.10125
672,54.16435,12.10125
673,54.16495,12.10125
674,54.16565,12.10125
675,54.16625,12.10125
676,54.16655,12.10125
677,54.16685,12.10125
678,54.16755,12.10125
679,54.16815,12.10125
680,54.16845,12.10125
681,54.16875,12.10125
682,54.16945,12.10125
683,54.17005,12.09775
684,54.17045,12.09775
685,54.17075,12.09775
686,54.17145,12.09775
687,54.55155,11.68125
688,55.05495,8.51025
689,55.05475,8.50675
690,54.17655,12.09425
691,54.17195,12.09775
692,54.17235,12.09775
693,54.17265,12.09775
694,54.17325,12.09775
695,54.17385,12.09775
696,54.17415,12.09775
697,54.17445,12.09775
698,55.05515,8.51375
699,54.33245,9.73175
700,54.33225,9.73175
701,54.33185,9.73175
702,54.33155,9.72825
703,54.33135,9.72825
704,54.33115,9.72825
705,54.32755,9.72125
706,55.06375,8.54525
707,55.06315,8.54175
708,55.06135,8.53825
709,55.06075,8.53825
710,54.32955,9.72475
711,55.06005,8.53475
712,54.32935,9.72475
713,54.32905,9.72475
714,55.05885,8.53125
715,54.32875,9.72475
716,54.32855,9.72475
717,55.05825,8.53125
718,54.32825,9.72475
719,55.05775,8.52775
720,54.32805,9.72125
721,55.05725,8.52775
722,55.05665,8.52425
723,56.69635,8.24075
724,55.05605,8.52075
725,55.05585,8.51725
726,54.15145,12.09775
727,54.15215,12.09775
728,54.15245,12.09775
729,54.15275,12.09775
730,54.15325,12.09775
731,54.15385,12.09775
732,55.05555,8.51725
733,55.05535,8.51375
734,54.16925,12.09775
735,54.15655,12.10125
736,54.15685,12.10125
737,54.15735,12.10125
738,54.15415,12.09775
739,54.15455,12.09775
740,54.15505,12.09775
741,54.15565,12.09775
742,54.15625,12.10125
743,54.15675,12.10125
744,54.15725,12.10125
745,54.15785,12.10125
746,54.15835,12.10125
747,54.15895,12.10125
748,54.15955,12.10125
749,54.16015,12.10125
750,54.16075,12.10475
751,54.16125,12.10475
752,54.16155,12.10475
753,54.16195,12.10475
754,54.16235,12.10475
755,54.16265,12.10125
756,54.16295,12.10125
757,54.16325,12.10125
758,54.16365,12.10125
759,54.16405,12.10125
760,54.16485,12.10125
761,54.16555,12.10125
762,54.16585,12.10125
763,54.16785,12.10125
764,54.16885,12.10125
