COURSEOVERGROUND,EVENTCERTAINTY,LATITUDE,LONGITUDE,POSITIONINTERPOLATED,SPEEDOVERGROUND,VESSEL_ID,Timestamp,DelSpeed,DelHeading,DelTime
29.39999962,3,56.53010333,11.18628667,False,0.899999976,7,1398309050,-1.600000024,-91.29999728,4
247.1000061,3,54.73117667,8.688436667,False,1.200000048,7,1398309076,0.300000072,217.70000648,26
247.1000061,3,54.73117667,8.688436667,False,1.200000048,7,1398309076,0.0,0.0,0
215.6999969,3,55.08707667,8.56812,False,0.800000012,7,1398309098,-0.400000036,-31.4000092,22
244.3000031,3,54.73091333,8.686461667,False,5.5,7,1398309136,4.699999988,28.6000062,38
244.3000031,3,54.73091333,8.686461667,False,5.5,7,1398309136,0.0,0.0,0
230.8000031,3,54.73067833,8.685943333,False,5.900000095,7,1398309149,0.400000095,-13.5,13
230.8000031,3,54.73067833,8.685943333,False,5.900000095,7,1398309149,0.0,0.0,0
25.29999924,2,54.63019167,11.32320833,False,8.0,7,1398309156,2.099999905,-205.50000386,7
122.9000015,2,54.52623667,11.25776667,False,2.5,7,1398309158,-5.5,97.60000226,2
122.9000015,2,54.52623667,11.25776667,False,2.5,7,1398309158,0.0,0.0,0
138.3999939,3,56.03308667,12.61722333,True,0.0,7,1398309174,-2.5,15.4999924,16
349.0,2,56.02765333,12.67500833,False,11.5,8,1398330495,0.0,0.0,0
348.0,2,56.02859333,12.67467,False,11.5,8,1398330514,0.0,-1.0,19
248.6000061,0,57.70192667,11.677185,False,11.19999981,8,1398330538,-0.30000019,-99.3999939,24
185.6000061,0,57.70813361,11.70248278,True,0.100000001,8,1398330542,-11.099999809,-63.0,4
246.3000031,0,57.70166333,11.67601167,False,11.30000019,8,1398330551,11.200000189,60.699997,9
185.6000061,0,57.70813389,11.70248222,True,0.100000001,8,1398330552,-11.200000189,-60.699997,1
348.0,2,56.03076833,12.67381667,False,11.5,8,1398330555,11.399999999,162.3999939,3
185.6000061,0,57.70813417,11.70248167,True,0.100000001,8,1398330562,-11.399999999,-162.3999939,7
243.6999969,0,57.70137667,11.67485333,False,11.30000019,8,1398330564,11.200000189,58.0999908,2
185.6000061,0,57.70813444,11.70248111,True,0.100000001,8,1398330572,-11.200000189,-58.0999908,8
